idx,category,arabic,definition,difficulty,discrimination
24,Animals (Real or Toy),القطة.ف,cat,1.7480700596144811,2.8289765156600497
26,Animals (Real or Toy),سمكة.ف,fish.animal,-0.3888100078326846,2.352032370367992
27,Animals (Real or Toy),ضفدع.ف,frog,-1.956003874262143,2.0644389501650178
29,Animals (Real or Toy),العصفور.ف,sparrow,0.47033935648646313,2.6515008921520797
30,Animals (Real or Toy),صرصور.ف,cockroach,-0.7967138058514319,2.187513952828993
48,Toys,قلم.ف,pen,1.0736201994729557,3.5939487081996333
50,Toys,كتاب.ف,book,0.6709801357490962,3.3549952015426863
54,Toys,بالونة.ف,balloon,1.1080863737972144,2.8833496366825453
57,Toys,لعبة.ف,toy,0.5042748346170678,2.7293546238202167
67,Toys,العاب.ف,toys,0.4199236141572013,3.0882290289583856
69,Vehicles (Real or Toy),السيارة.ف,car,2.0731312704559683,3.0030143521033166
70,Vehicles (Real or Toy),طيارة.ف,airplane,-0.042233426492017605,2.637114237763207
73,Vehicles (Real or Toy),سيكل.ف,bicycle,0.026271034742800577,2.445269516937892
75,Vehicles (Real or Toy),اسعاف.ف,ambulance,-2.5672650471447866,2.3966451232990607
78,Vehicles (Real or Toy),تكسي.ف,taxi,-2.5155370425552372,2.1177955787451648
96,Food and Drink,رز.ف,rice,0.9755242345609089,3.535143790003409
103,Food and Drink,دوا.ف,medicine,0.5525785210996496,3.6981099713807533
106,Food and Drink,بطاطس.ف,potato,0.22751375976167634,3.5703235155124795
118,Food and Drink,بيض.ف,eggs,-0.15848477408876677,3.455058593235357
123,Food and Drink,ايسكريم.ف,ice.cream,0.2919585099400755,3.7455678628945677
134,Clothing,بيجامة.ف,pajamas,-0.56938850441016,3.0103262577675074
135,Clothing,بنطلون.ف,pants,0.09615710350233189,2.958355576692292
138,Clothing,جورب.ف,socks,0.1836432980618894,3.23763002788791
148,Clothing,حفاضة.ف,diapers,1.534856266884419,2.996243682429953
149,Clothing,سروال.ف,underpants,-0.8445211013526923,2.9818274927146056
153,Body Parts,عين.ف,eye,1.7495847371314142,4.66615913595005
155,Body Parts,فم.ف,mouth,1.6712399957497404,4.590866188686089
161,Body Parts,شعر.ف,hair,1.4867515215716691,4.067228009055598
163,Body Parts,اسنان.ف,teeth,0.0032410529150632985,4.253334976809816
164,Body Parts,راس.ف,head,0.4348609591162061,4.3720631918468476
177,Small Household Items,شوكة.ف,fork,-0.7812598881935412,4.247019578985032
180,Small Household Items,زبالة.ف,trash.can,1.0213866788538979,5.233912210948946
189,Small Household Items,حقيبة.ف,bag,0.3637405402134178,4.2211008234467595
192,Small Household Items,صابون.ف,soap,0.4775399761890021,4.769080989801183
196,Small Household Items,صحن.ف,plate,0.8918239416815594,4.237304091333289
222,Furniture and Rooms,حمام.ف,bathroom,2.34769448377449,3.7113676753494222
227,Furniture and Rooms,ثلاجة.ف,fridge,0.7398371530594671,4.41317550763137
234,Furniture and Rooms,مراية.ف,mirror,-0.6235886027797861,4.686064140653132
241,Furniture and Rooms,طاقة.ف,window,-0.24759562718091946,4.15418502177616
242,Furniture and Rooms,مطبخ.ف,kitchen,0.7167703694209402,3.9811454233929306
258,Outside Things,نجمة.ف,star,-2.67208005934338,3.0370679562757696
260,Outside Things,مطر.ف,rain,-1.2185102645589136,3.2592700245846173
262,Outside Things,بيت.ف,house,0.25437219575607367,3.355909995849594
264,Outside Things,شغل.ف,work.noun,-1.9690234994632092,3.0299362324215484
267,Outside Things,ملاهي.ف,theme.park,-0.5512683710166576,3.24732693508101
269,People,حرمة.ف,woman,-1.25529043790551,3.0914555008002584
272,People,رجال.ف,man,-1.0511170022763723,3.613678987024637
278,People,ولد.ف,boy,-0.4023788296166439,3.5712047699797473
279,People,ناس.ف,people,-1.7118804994397756,3.055327334673849
281,People,بنت.ف,girl,-0.30078877840025137,3.3987883872365097
295,Games and Routines,نروح.السوق.ف,we.go.shopping,-0.6533762096274695,3.762240474854503
296,Games and Routines,عشا.ف,dinner,-1.1188813013400554,3.1852736292698487
307,Games and Routines,بسم.الله.ف,in.the.name.of.allah,0.35942872423046235,3.5373130307156617
310,Games and Routines,ترويش.ف,taking.shower,1.0476074947412575,3.2436897521059604
316,Games and Routines,ايوا.ف,yes,0.687909503938844,3.213127781292352
327,Action words,يمسح.ف,wipe,-0.02579210136133491,3.985366038731707
332,Action words,يجري.ف,run,0.14813612938183432,4.036238015021488
335,Action words,يغسل.ف,wash,-0.4150084276182985,3.776798661421351
372,Action words,يلبس.ف,wear,0.3235479027214479,3.8046652242395282
382,Action words,يدخل.ف,enter,-0.40646024749941906,3.8649747108905825
423,Descriptive Words,نايم.ف,asleep,1.4424610007083345,3.9112314584171686
434,Descriptive Words,وسخ.ف,dirty,-0.21702310079373113,3.6791149660716713
447,Descriptive Words,خائف.ف,afraid,-1.8252880386190706,3.9616488558691607
453,Descriptive Words,جائع.ف,hungry,-0.46273587862002724,3.8572894760975625
